MMSI,DateTime,# Timestamp,Latitude,Longitude,SOG,Heading,Ship type,DateDiff,distance,dLat/dt,dLong/dt
219021240.0,2021-12-13 01:50:59,2021-12-13 01:51:00,55.2685,14.3138,6.1,218.0,11,60,184.49396879767255,-0.001300000000000523,-0.001800000000001134
219021240.0,2021-12-13 01:51:59,2021-12-13 01:52:00,55.2672,14.312,5.9,219.0,11,60,180.09862612829798,-0.0012000000000043087,-0.0018999999999991246
219021240.0,2021-12-13 01:52:59,2021-12-13 01:53:00,55.266,14.3101,5.9,217.0,11,59,175.90086822784704,-0.0012203389830480035,-0.0018305084745774245
219021240.0,2021-12-13 01:53:58,2021-12-13 01:54:00,55.2648,14.3083,5.8,218.0,11,60,188.50941290563298,-0.001300000000000523,-0.0018999999999991246
219021240.0,2021-12-13 01:54:58,2021-12-13 01:55:00,55.2635,14.3064,6.0,219.0,11,60,180.10609406333668,-0.0011999999999972033,-0.0018999999999991246
219021240.0,2021-12-13 01:55:58,2021-12-13 01:56:00,55.2623,14.3045,5.7,220.0,11,60,172.01285197288416,-0.001100000000000989,-0.001900000000000901
219021240.0,2021-12-13 01:56:58,2021-12-13 01:57:00,55.2612,14.3026,5.7,217.0,11,60,180.1107363169953,-0.0012000000000043087,-0.0018999999999991246
219021240.0,2021-12-13 01:57:58,2021-12-13 01:58:00,55.26,14.3007,5.8,218.0,11,60,180.1131583698424,-0.0011999999999972033,-0.001900000000000901
219021240.0,2021-12-13 01:58:58,2021-12-13 01:59:00,55.2588,14.2988,6.0,219.0,11,60,188.52096690895058,-0.001300000000000523,-0.0018999999999991246
219021240.0,2021-12-13 01:59:58,2021-12-13 02:00:00,55.2575,14.2969,5.9,218.0,11,60,184.4433197496477,-0.0011999999999972033,-0.002000000000000668
219021240.0,2021-12-13 02:00:58,2021-12-13 02:01:00,55.2563,14.2949,6.1,219.0,11,61,192.66250233409332,-0.0012786885245906785,-0.0019672131147547554
219021240.0,2021-12-13 02:01:59,2021-12-13 02:02:00,55.255,14.2929,6.1,218.0,11,60,184.44878405708556,-0.0012000000000043087,-0.0019999999999988916
219021240.0,2021-12-13 02:02:59,2021-12-13 02:03:00,55.2538,14.2909,6.0,218.0,11,60,180.12567238279652,-0.0011999999999972033,-0.001900000000000901
219021240.0,2021-12-13 02:03:59,2021-12-13 02:04:00,55.2526,14.289,6.0,217.0,11,60,188.53290623743982,-0.001300000000000523,-0.0018999999999991246
